gene.name ,group
Kif5a,stringent
Apc,stringent
Rapgef4,stringent
Pclo,stringent
Cdk16,stringent
Marf1,stringent
Map1b,stringent
Unc13c,stringent
Ank2,stringent
Pten,stringent
Ank3,stringent
Shank1,stringent
Sptbn2,stringent
Cyfip2,stringent
Sptbn1,stringent
Nckap1,stringent
Kif1a,stringent
Mbp,stringent
Tshz2,stringent
Huwe1,stringent
Pde2a,stringent
Agap2,stringent
Pum2,stringent
Pkp4,stringent
Zfr,stringent
Bsn,stringent
Hivep2,stringent
Dlg4,stringent
Map1a,stringent
Map2,stringent
Nsmf,stringent
Dennd5a,stringent
Tbc1d9b,stringent
Rasgrf1,stringent
Dlg2,stringent
Lrrc7,stringent
Fth1,stringent
2610507B11Rik,stringent
Nf1,stringent
Adcy1,stringent
Mobp,stringent
Usp34,stringent
Camk2n1,stringent
Nisch,stringent
Usp9x,stringent
Fbxl16,stringent
Gm15800,stringent
Brsk1,stringent
Wnk1,stringent
Camk2a,stringent
Dlgap1,stringent
Ttr,stringent
Arhgap32,stringent
Akap11,stringent
Chd3,stringent
Sipa1l1,stringent
Macf1,stringent
Unc80,stringent
Cnksr2,stringent
Tmem184c,stringent
Mapk8ip1,stringent
Kcnma1,stringent
Ids,stringent
Usf3,stringent
Nbea,stringent
Dst,stringent
Wac,stringent
4932438A13Rik,stringent
Trak2,stringent
Ube3b,stringent
Arhgap21,stringent
Plekhm2,stringent
Kif1b,stringent
Grin2a,stringent
Mprip,stringent
Wdfy3,stringent
Ptprj,stringent
Srrm2,stringent
Prr14l,stringent
Ulk2,stringent
Pcnx,stringent
Prrc2b,stringent
Arhgap5,stringent
Itpr1,stringent
Csnk1g2,stringent
Crebbp,stringent
Mycbp2,stringent
Mapk3,stringent
Eif4g2,stringent
Kansl1,stringent
Ttc3,stringent
Camta2,stringent
Lingo1,stringent
Lmtk2,stringent
Hipk1,stringent
Panx2,stringent
Myo5a,stringent
Arhgap35,stringent
Fry,stringent
Akap6,stringent
Xpo7,stringent
Rc3h2,stringent
Fam171b,stringent
Mast2,stringent
Aak1,stringent
Med14,stringent
Ncoa1,stringent
Prrc2a,stringent
Dpp8,stringent
Akt3,stringent
Ralgapa1,stringent
Rasgrp1,stringent
Rnf157,stringent
Ralgapb,stringent
Usp32,stringent
Adgrl1,stringent
Zfp148,stringent
Dync1h1,stringent
Ncor1,stringent
Rc3h1,stringent
Syngap1,stringent
Shank2,stringent
Bmpr2,stringent
Aff4,stringent
Lrrc8b,stringent
Htt,stringent
Dock9,stringent
Tshz3,stringent
Clasp2,stringent
Ankrd13c,stringent
Eef2,stringent
Trrap,stringent
Ctnnd2,stringent
Uhrf1bp1l,stringent
Ndst1,stringent
Vps13a,stringent
Ttbk2,stringent
Erbb2ip,stringent
Ubr4,stringent
Dmxl2,stringent
Cdkl5,stringent
Ccny,stringent
Xpr1,stringent
Zmiz1,stringent
Git1,stringent
Iqsec1,stringent
Arid1a,stringent
Zfp365,stringent
Hipk3,stringent
Ddn,stringent
Iqsec2,stringent
Grik5,stringent
Kcnh7,stringent
Cdc42bpa,stringent
Herc2,stringent
Rapgef1,stringent
Med13,stringent
Usp31,stringent
Ash1l,stringent
Npas2,stringent
Tanc2,stringent
