Geneid	M2	F2	M1
ENSMUSG00000102693	0	0	0
ENSMUSG00000064842	0	0	0
ENSMUSG00000051951	168	141	210
ENSMUSG00000102851	0	2	0
ENSMUSG00000103377	0	2	0
ENSMUSG00000104017	0	2	0
ENSMUSG00000103025	0	2	0
ENSMUSG00000089699	0	0	0
ENSMUSG00000103201	0	0	0
ENSMUSG00000103147	1	0	1
ENSMUSG00000103161	1	1	1
ENSMUSG00000102331	3	3	7
ENSMUSG00000102348	5	0	0
ENSMUSG00000102592	0	0	0
ENSMUSG00000088333	0	0	0
ENSMUSG00000102343	0	0	0
ENSMUSG00000102948	0	0	0
ENSMUSG00000025900	0	0	0
ENSMUSG00000104123	0	0	0
ENSMUSG00000025902	1	0	9
ENSMUSG00000104238	0	0	0
ENSMUSG00000102269	0	0	0
ENSMUSG00000096126	0	0	0
ENSMUSG00000103003	0	0	0
ENSMUSG00000104328	0	0	0
ENSMUSG00000102735	0	0	2
ENSMUSG00000098104	1	2	2
ENSMUSG00000102175	0	0	0
ENSMUSG00000088000	0	0	0
ENSMUSG00000103265	0	0	0
ENSMUSG00000103922	5	1	7
ENSMUSG00000033845	612	314	1117
ENSMUSG00000102275	4	1	2
ENSMUSG00000025903	758	451	989
ENSMUSG00000104217	0	0	0
ENSMUSG00000033813	460	260	550
ENSMUSG00000062588	0	0	0
ENSMUSG00000103280	246	166	355
ENSMUSG00000002459	3232	1355	4469
ENSMUSG00000091305	0	0	0
ENSMUSG00000102653	0	0	0
ENSMUSG00000085623	0	0	0
ENSMUSG00000091665	0	0	0
ENSMUSG00000033793	842	605	1383
ENSMUSG00000104352	0	0	0
ENSMUSG00000104046	0	0	1
ENSMUSG00000102907	0	0	0
ENSMUSG00000025905	0	4	14
ENSMUSG00000103936	0	0	0
ENSMUSG00000093015	0	0	0
ENSMUSG00000103519	0	0	0
ENSMUSG00000033774	0	0	0
ENSMUSG00000103090	0	0	0
ENSMUSG00000025907	3348	1807	3443
ENSMUSG00000090031	25	19	11
ENSMUSG00000087247	0	0	0
ENSMUSG00000103355	0	2	0
ENSMUSG00000102706	1	0	0
ENSMUSG00000103845	9	2	2
ENSMUSG00000033740	1814	1279	1885
ENSMUSG00000103329	53	91	67
ENSMUSG00000104385	0	0	1
ENSMUSG00000102135	0	0	1
ENSMUSG00000103282	0	0	0
ENSMUSG00000102534	0	0	0
ENSMUSG00000102213	0	0	0
ENSMUSG00000103629	0	0	0
ENSMUSG00000051285	3686	2167	4843
ENSMUSG00000098201	0	0	0
ENSMUSG00000103509	16	5	2
ENSMUSG00000048538	2	0	0
ENSMUSG00000103709	0	0	0
ENSMUSG00000077244	0	0	0
ENSMUSG00000102768	0	0	0
ENSMUSG00000097797	4	0	1
ENSMUSG00000103498	0	0	0
ENSMUSG00000103067	0	0	0
ENSMUSG00000102320	0	0	0
ENSMUSG00000104226	0	0	1
ENSMUSG00000103903	0	0	0
ENSMUSG00000103557	0	0	0
ENSMUSG00000025909	55	50	129
ENSMUSG00000102647	0	1	0
ENSMUSG00000086235	0	2	1
ENSMUSG00000102253	0	0	0
ENSMUSG00000093970	0	0	0
ENSMUSG00000103884	0	0	0
ENSMUSG00000084353	0	0	0
ENSMUSG00000103933	2	0	1
ENSMUSG00000076135	0	0	0
ENSMUSG00000086195	0	0	0
ENSMUSG00000104504	0	0	0
ENSMUSG00000066693	0	0	0
ENSMUSG00000102316	0	0	0
ENSMUSG00000103819	0	0	0
ENSMUSG00000102871	0	0	0
ENSMUSG00000101571	0	0	2
ENSMUSG00000104428	0	0	0
ENSMUSG00000102272	0	0	0
ENSMUSG00000065625	0	0	0
ENSMUSG00000103411	0	0	0
ENSMUSG00000061024	145	92	214
ENSMUSG00000025911	460	325	459
ENSMUSG00000079671	1	0	0
ENSMUSG00000081441	0	0	0
ENSMUSG00000067879	40	13	39
ENSMUSG00000099827	0	0	0
ENSMUSG00000025912	232	173	374
ENSMUSG00000045210	2309	1557	2990
ENSMUSG00000097893	21	11	13
ENSMUSG00000025915	829	450	1067
ENSMUSG00000046334	0	0	2
ENSMUSG00000088916	0	0	0
ENSMUSG00000046101	6	5	0
ENSMUSG00000098234	69	33	158
ENSMUSG00000093178	0	0	0
ENSMUSG00000099032	25	7	72
ENSMUSG00000104025	0	0	0
ENSMUSG00000025916	2	1	10
ENSMUSG00000087199	0	0	0
ENSMUSG00000095780	0	0	0
ENSMUSG00000025917	2427	1339	3145
ENSMUSG00000056763	274	176	397
ENSMUSG00000102356	0	1	0
ENSMUSG00000067851	3154	1972	3589
ENSMUSG00000088153	0	1	0
ENSMUSG00000102556	0	1	0
ENSMUSG00000042501	0	0	0
ENSMUSG00000103810	0	0	0
ENSMUSG00000083422	6	1	4
ENSMUSG00000094979	0	0	0
ENSMUSG00000081417	0	0	0
ENSMUSG00000103448	0	0	0
ENSMUSG00000100212	0	0	0
ENSMUSG00000100648	0	0	0
ENSMUSG00000088585	0	0	0
ENSMUSG00000048960	43923	24376	55781
ENSMUSG00000077318	0	0	0
ENSMUSG00000101827	8	5	7
ENSMUSG00000103494	0	0	0
ENSMUSG00000057715	90	86	201
ENSMUSG00000103825	0	1	0
ENSMUSG00000099845	0	0	0
ENSMUSG00000103561	0	0	0
ENSMUSG00000101610	1	0	0
ENSMUSG00000093864	0	0	0
ENSMUSG00000098555	0	0	0
ENSMUSG00000097628	2	5	7
ENSMUSG00000098163	0	1	0
ENSMUSG00000097171	0	0	0
ENSMUSG00000101314	0	0	0
ENSMUSG00000016918	8537	3482	11096
ENSMUSG00000025938	2	21	55
ENSMUSG00000104518	0	0	0
ENSMUSG00000069620	0	0	0
ENSMUSG00000099498	0	0	0
ENSMUSG00000042414	1	0	1
ENSMUSG00000005886	4906	2790	5767
ENSMUSG00000103506	0	0	0
ENSMUSG00000103495	0	1	0
ENSMUSG00000099183	0	0	0
ENSMUSG00000102639	0	0	0
ENSMUSG00000104170	0	0	0
ENSMUSG00000087782	0	0	0
ENSMUSG00000103085	0	3	0
ENSMUSG00000102664	0	3	0
ENSMUSG00000101476	0	0	0
ENSMUSG00000101171	0	0	0
ENSMUSG00000025935	1970	862	2583
ENSMUSG00000025937	801	470	1150
ENSMUSG00000102982	0	0	0
ENSMUSG00000067813	0	0	0
ENSMUSG00000077368	0	0	0
ENSMUSG00000097711	10	11	15
ENSMUSG00000102166	0	0	0
ENSMUSG00000089358	0	0	0
ENSMUSG00000104209	0	0	0
ENSMUSG00000025932	536	207	702
ENSMUSG00000095853	0	0	0
ENSMUSG00000102588	0	0	0
ENSMUSG00000054493	6	0	14
ENSMUSG00000025930	1	2	6
ENSMUSG00000103492	0	0	0
ENSMUSG00000081201	1	0	0
ENSMUSG00000082193	1	1	2
ENSMUSG00000032769	0	0	0
ENSMUSG00000088159	0	0	0
ENSMUSG00000073737	2	0	1
ENSMUSG00000092083	63	106	193
ENSMUSG00000102937	0	0	0
ENSMUSG00000104149	0	0	0
ENSMUSG00000088829	0	0	0
ENSMUSG00000077377	0	0	0
ENSMUSG00000101652	2	0	2
ENSMUSG00000100814	1	0	0
ENSMUSG00000025925	193	74	230
ENSMUSG00000104379	0	4	21
ENSMUSG00000032719	2	0	2
ENSMUSG00000088943	0	0	0
ENSMUSG00000100652	0	0	0
ENSMUSG00000067795	0	0	1
ENSMUSG00000043716	562	338	953
ENSMUSG00000025921	1498	668	1882
ENSMUSG00000104165	0	0	0
ENSMUSG00000100868	0	0	0
ENSMUSG00000025920	1297	695	2206
ENSMUSG00000089982	0	0	0
ENSMUSG00000025939	911	412	992
ENSMUSG00000102457	7	0	0
ENSMUSG00000079658	1795	979	3035
ENSMUSG00000097744	0	0	0
ENSMUSG00000100959	1	0	0
ENSMUSG00000025940	827	465	1194
ENSMUSG00000025779	237	105	245
ENSMUSG00000100093	0	0	0
ENSMUSG00000091020	22	0	2
ENSMUSG00000101640	0	1	0
ENSMUSG00000104133	0	0	0
ENSMUSG00000042686	431	291	493
ENSMUSG00000100110	0	0	0
ENSMUSG00000025777	1158	894	1662
ENSMUSG00000099899	0	2	0
ENSMUSG00000100272	0	0	0
ENSMUSG00000100398	1	0	0
ENSMUSG00000101589	2	4	1
ENSMUSG00000102048	2	1	0
ENSMUSG00000089534	0	0	0
ENSMUSG00000067780	16	8	1
ENSMUSG00000100053	1	2	0
ENSMUSG00000085125	1	1	0
ENSMUSG00000025776	1	2	8
ENSMUSG00000099895	0	4	1
ENSMUSG00000100554	0	0	0
ENSMUSG00000099473	5	1	12
ENSMUSG00000099591	1	1	6
ENSMUSG00000102001	0	0	0
ENSMUSG00000101717	4	2	5
ENSMUSG00000025774	0	0	0
ENSMUSG00000070977	0	0	0
ENSMUSG00000073735	0	0	0
ENSMUSG00000067773	0	0	0
ENSMUSG00000101685	0	0	0
ENSMUSG00000101738	0	0	0
ENSMUSG00000101306	0	0	0
ENSMUSG00000088800	0	0	0
