Geneid	F1	F2	M1	M2
ENSMUSG00000102693	0	0	0	0
ENSMUSG00000064842	1	0	1	0
ENSMUSG00000051951	1488	1302	1257	856
ENSMUSG00000102851	1	3	0	0
ENSMUSG00000103377	11	6	5	0
ENSMUSG00000104017	17	6	0	1
ENSMUSG00000103025	0	0	0	0
ENSMUSG00000089699	0	0	0	0
ENSMUSG00000103201	0	0	0	0
ENSMUSG00000103147	2	2	1	0
ENSMUSG00000103161	5	1	0	0
ENSMUSG00000102331	30	42	73	17
ENSMUSG00000102348	12	12	15	15
ENSMUSG00000102592	0	0	0	0
ENSMUSG00000088333	0	0	0	0
ENSMUSG00000102343	0	0	0	1
ENSMUSG00000102948	0	0	0	0
ENSMUSG00000025900	0	0	0	0
ENSMUSG00000104123	0	0	0	0
ENSMUSG00000025902	2	3	6	11
ENSMUSG00000104238	0	0	0	0
ENSMUSG00000102269	1	0	0	0
ENSMUSG00000096126	0	0	0	0
ENSMUSG00000103003	0	0	0	0
ENSMUSG00000104328	0	0	0	0
ENSMUSG00000102735	2	2	3	6
ENSMUSG00000098104	21	7	24	18
ENSMUSG00000102175	0	0	0	0
ENSMUSG00000088000	0	0	0	1
ENSMUSG00000103265	0	0	0	0
ENSMUSG00000103922	21	15	17	13
ENSMUSG00000033845	1290	1500	2434	1360
ENSMUSG00000102275	16	10	14	12
ENSMUSG00000025903	2986	2972	3024	3023
ENSMUSG00000104217	0	0	0	0
ENSMUSG00000033813	2118	2093	2408	1821
ENSMUSG00000062588	0	0	1	0
ENSMUSG00000103280	160	177	223	89
ENSMUSG00000002459	1790	1383	1917	1370
ENSMUSG00000091305	0	0	0	2
ENSMUSG00000102653	0	0	3	1
ENSMUSG00000085623	1	1	12	6
ENSMUSG00000091665	0	0	0	0
ENSMUSG00000033793	2795	2962	4094	2856
ENSMUSG00000104352	0	0	0	1
ENSMUSG00000104046	1	0	0	0
ENSMUSG00000102907	0	0	0	0
ENSMUSG00000025905	0	29	69	15
ENSMUSG00000103936	0	0	0	0
ENSMUSG00000093015	0	0	0	0
ENSMUSG00000103519	0	0	1	0
ENSMUSG00000033774	0	0	0	1
ENSMUSG00000103090	0	0	0	0
ENSMUSG00000025907	13894	11690	14952	12944
ENSMUSG00000090031	311	254	273	234
ENSMUSG00000087247	0	0	0	0
ENSMUSG00000103355	3	3	2	1
ENSMUSG00000102706	0	0	0	0
ENSMUSG00000103845	36	30	23	17
ENSMUSG00000033740	35095	31650	41668	28173
ENSMUSG00000103329	1725	1773	1746	1220
ENSMUSG00000104385	2	0	0	1
ENSMUSG00000102135	2	1	4	3
ENSMUSG00000103282	0	0	0	0
ENSMUSG00000102534	0	0	0	0
ENSMUSG00000102213	0	0	0	0
ENSMUSG00000103629	0	0	0	0
ENSMUSG00000051285	14421	13576	16456	12516
ENSMUSG00000098201	1	1	0	2
ENSMUSG00000103509	52	32	20	15
ENSMUSG00000048538	0	0	0	1
ENSMUSG00000103709	0	0	0	0
ENSMUSG00000077244	0	0	0	0
ENSMUSG00000102768	0	0	0	0
ENSMUSG00000097797	1	3	5	0
ENSMUSG00000103498	0	0	0	0
ENSMUSG00000103067	0	0	0	0
ENSMUSG00000102320	0	0	0	0
ENSMUSG00000104226	1	4	3	4
ENSMUSG00000103903	0	1	0	0
ENSMUSG00000103557	0	0	0	0
ENSMUSG00000025909	200	217	456	185
ENSMUSG00000102647	0	0	0	0
ENSMUSG00000086235	7	1	1	1
ENSMUSG00000102253	1	0	2	0
ENSMUSG00000093970	0	0	0	0
ENSMUSG00000103884	0	0	0	0
ENSMUSG00000084353	0	0	0	0
ENSMUSG00000103933	3	0	0	5
ENSMUSG00000076135	0	0	1	1
ENSMUSG00000086195	0	0	0	0
ENSMUSG00000104504	0	0	0	0
ENSMUSG00000066693	0	0	0	0
ENSMUSG00000102316	0	0	2	0
ENSMUSG00000103819	0	0	0	0
ENSMUSG00000102871	0	0	0	0
ENSMUSG00000101571	0	0	2	1
ENSMUSG00000104428	0	0	0	0
ENSMUSG00000102272	0	0	0	0
ENSMUSG00000065625	0	0	0	0
ENSMUSG00000103411	0	0	0	0
ENSMUSG00000061024	677	501	467	414
ENSMUSG00000025911	52	29	46	71
ENSMUSG00000079671	0	1	3	4
ENSMUSG00000081441	2	1	3	0
ENSMUSG00000067879	115	338	654	309
ENSMUSG00000099827	0	0	0	0
ENSMUSG00000025912	4085	3174	3711	3694
ENSMUSG00000045210	13090	10124	13410	9559
ENSMUSG00000097893	5	15	21	2
ENSMUSG00000025915	357	336	544	291
ENSMUSG00000046334	6	12	2	3
ENSMUSG00000088916	0	0	0	0
ENSMUSG00000046101	16	11	15	13
ENSMUSG00000098234	395	292	375	319
ENSMUSG00000093178	0	0	0	0
ENSMUSG00000099032	29	0	23	10
ENSMUSG00000104025	0	0	0	0
ENSMUSG00000025916	2	1	0	2
ENSMUSG00000087199	0	0	0	0
ENSMUSG00000095780	0	0	0	0
ENSMUSG00000025917	2902	3188	5314	3820
ENSMUSG00000056763	1393	1105	1501	1126
ENSMUSG00000102356	0	0	0	0
ENSMUSG00000067851	10988	9713	12195	10161
ENSMUSG00000088153	0	1	1	3
ENSMUSG00000102556	1	0	7	0
ENSMUSG00000042501	0	0	0	0
ENSMUSG00000103810	0	0	0	0
ENSMUSG00000083422	12	12	15	25
ENSMUSG00000094979	0	0	0	0
ENSMUSG00000081417	0	0	0	0
ENSMUSG00000103448	0	0	0	0
ENSMUSG00000100212	0	0	0	0
ENSMUSG00000100648	0	0	1	0
ENSMUSG00000088585	0	0	0	0
ENSMUSG00000048960	4809	4676	5121	4474
ENSMUSG00000077318	0	0	0	0
ENSMUSG00000101827	10	11	27	21
ENSMUSG00000103494	0	0	0	0
ENSMUSG00000057715	449	545	667	397
ENSMUSG00000103825	0	0	2	0
ENSMUSG00000099845	0	0	0	0
ENSMUSG00000103561	0	0	0	0
ENSMUSG00000101610	0	0	2	0
ENSMUSG00000093864	0	1	0	0
ENSMUSG00000098555	0	0	0	0
ENSMUSG00000097628	10	17	18	30
ENSMUSG00000098163	3	1	1	2
ENSMUSG00000097171	0	0	1	0
ENSMUSG00000101314	0	0	0	0
ENSMUSG00000016918	301	309	443	501
ENSMUSG00000025938	247	77	134	56
ENSMUSG00000104518	0	0	0	0
ENSMUSG00000069620	0	0	0	0
ENSMUSG00000099498	0	0	0	0
ENSMUSG00000042414	0	0	0	1
ENSMUSG00000005886	20295	15271	22867	17820
ENSMUSG00000103506	6	1	8	9
ENSMUSG00000103495	0	0	0	0
ENSMUSG00000099183	1	0	0	0
ENSMUSG00000102639	0	0	0	0
ENSMUSG00000104170	11	11	0	0
ENSMUSG00000087782	0	0	0	0
ENSMUSG00000103085	3	14	0	8
ENSMUSG00000102664	0	4	0	1
ENSMUSG00000101476	5	0	0	3
ENSMUSG00000101171	1	0	0	0
ENSMUSG00000025935	1911	1578	1599	1482
ENSMUSG00000025937	644	509	696	674
ENSMUSG00000102982	1	1	1	2
ENSMUSG00000067813	0	0	0	0
ENSMUSG00000077368	0	0	0	0
ENSMUSG00000097711	28	20	51	62
