Geneid	F1	F2	M1	M2
ENSMUSG00000102693	0	0	0	0
ENSMUSG00000064842	0	0	0	0
ENSMUSG00000051951	990	1004	698	830
ENSMUSG00000102851	0	0	0	0
ENSMUSG00000103377	0	0	0	4
ENSMUSG00000104017	0	6	0	4
ENSMUSG00000103025	0	0	0	0
ENSMUSG00000089699	0	0	0	0
ENSMUSG00000103201	0	0	0	1
ENSMUSG00000103147	2	0	0	0
ENSMUSG00000103161	1	0	0	12
ENSMUSG00000102331	7	7	1	8
ENSMUSG00000102348	6	8	9	7
ENSMUSG00000102592	0	0	0	0
ENSMUSG00000088333	0	0	0	0
ENSMUSG00000102343	0	0	0	0
ENSMUSG00000102948	0	0	0	0
ENSMUSG00000025900	0	0	0	9
ENSMUSG00000104123	0	0	0	0
ENSMUSG00000025902	6	6	23	22
ENSMUSG00000104238	0	0	0	0
ENSMUSG00000102269	1	0	0	2
ENSMUSG00000096126	0	0	0	0
ENSMUSG00000103003	0	0	0	0
ENSMUSG00000104328	0	0	0	0
ENSMUSG00000102735	0	0	0	0
ENSMUSG00000098104	21	23	18	9
ENSMUSG00000102175	5	1	1	1
ENSMUSG00000088000	0	0	1	0
ENSMUSG00000103265	0	0	0	0
ENSMUSG00000103922	80	61	43	56
ENSMUSG00000033845	2823	2191	1333	851
ENSMUSG00000102275	2	6	5	1
ENSMUSG00000025903	3495	2345	1844	1503
ENSMUSG00000104217	0	0	0	0
ENSMUSG00000033813	2109	3365	1554	1703
ENSMUSG00000062588	1	3	1	0
ENSMUSG00000103280	52	61	42	53
ENSMUSG00000002459	824	657	566	967
ENSMUSG00000091305	0	0	0	0
ENSMUSG00000102653	6	0	0	0
ENSMUSG00000085623	9	0	4	0
ENSMUSG00000091665	0	0	0	0
ENSMUSG00000033793	5188	3886	2533	1637
ENSMUSG00000104352	0	0	0	0
ENSMUSG00000104046	0	0	2	1
ENSMUSG00000102907	0	0	0	0
ENSMUSG00000025905	22	48	33	13
ENSMUSG00000103936	0	0	0	0
ENSMUSG00000093015	0	0	0	0
ENSMUSG00000103519	0	0	0	0
ENSMUSG00000033774	9	1	2	0
ENSMUSG00000103090	0	0	0	0
ENSMUSG00000025907	6703	8467	6329	9062
ENSMUSG00000090031	59	41	47	60
ENSMUSG00000087247	0	0	0	0
ENSMUSG00000103355	0	3	2	3
ENSMUSG00000102706	0	0	0	0
ENSMUSG00000103845	48	52	49	45
ENSMUSG00000033740	8699	6057	6330	10457
ENSMUSG00000103329	168	281	270	262
ENSMUSG00000104385	0	0	0	0
ENSMUSG00000102135	1	0	0	0
ENSMUSG00000103282	0	0	0	0
ENSMUSG00000102534	0	0	0	0
ENSMUSG00000102213	0	0	0	0
ENSMUSG00000103629	1	0	0	0
ENSMUSG00000051285	12058	23773	16287	11514
ENSMUSG00000098201	0	0	0	0
ENSMUSG00000103509	30	17	27	15
ENSMUSG00000048538	3	1	2	0
ENSMUSG00000103709	0	0	0	0
ENSMUSG00000077244	0	0	0	0
ENSMUSG00000102768	0	0	0	0
ENSMUSG00000097797	8	31	3	8
ENSMUSG00000103498	0	0	0	0
ENSMUSG00000103067	0	0	0	0
ENSMUSG00000102320	0	0	0	0
ENSMUSG00000104226	1	1	0	1
ENSMUSG00000103903	0	0	0	0
ENSMUSG00000103557	0	0	0	0
ENSMUSG00000025909	1118	922	652	973
ENSMUSG00000102647	0	0	0	0
ENSMUSG00000086235	4	0	2	2
ENSMUSG00000102253	0	0	0	0
ENSMUSG00000093970	0	0	0	0
ENSMUSG00000103884	0	0	0	0
ENSMUSG00000084353	0	0	0	0
ENSMUSG00000103933	2	3	2	1
ENSMUSG00000076135	0	1	0	0
ENSMUSG00000086195	0	0	0	0
ENSMUSG00000104504	0	0	0	0
ENSMUSG00000066693	2	0	3	3
ENSMUSG00000102316	0	0	0	0
ENSMUSG00000103819	0	6	0	0
ENSMUSG00000102871	1	0	0	0
ENSMUSG00000101571	0	0	0	0
ENSMUSG00000104428	0	0	0	0
ENSMUSG00000102272	0	0	0	0
ENSMUSG00000065625	0	0	0	0
ENSMUSG00000103411	0	0	0	0
ENSMUSG00000061024	564	600	321	241
ENSMUSG00000025911	367	226	204	355
ENSMUSG00000079671	2	2	1	2
ENSMUSG00000081441	0	2	2	1
ENSMUSG00000067879	260	190	97	86
ENSMUSG00000099827	0	0	0	0
ENSMUSG00000025912	815	860	606	696
ENSMUSG00000045210	6503	8804	6757	7251
ENSMUSG00000097893	1	6	5	1
ENSMUSG00000025915	320	381	220	195
ENSMUSG00000046334	2	1	0	0
ENSMUSG00000088916	0	0	0	0
ENSMUSG00000046101	7	27	26	23
ENSMUSG00000098234	166	312	133	35
ENSMUSG00000093178	0	0	0	0
ENSMUSG00000099032	10	13	19	0
ENSMUSG00000104025	0	0	0	0
ENSMUSG00000025916	0	1	1	0
ENSMUSG00000087199	0	0	0	0
ENSMUSG00000095780	0	0	0	0
ENSMUSG00000025917	6286	6499	3713	3759
ENSMUSG00000056763	652	408	290	305
ENSMUSG00000102356	1	0	0	0
ENSMUSG00000067851	11542	14268	10608	8800
ENSMUSG00000088153	0	0	1	0
ENSMUSG00000102556	0	11	1	0
ENSMUSG00000042501	0	8	0	0
ENSMUSG00000103810	0	0	0	0
ENSMUSG00000083422	0	1	1	0
ENSMUSG00000094979	0	0	0	0
ENSMUSG00000081417	0	0	0	0
ENSMUSG00000103448	0	0	0	1
ENSMUSG00000100212	0	0	0	0
ENSMUSG00000100648	0	2	0	0
ENSMUSG00000088585	0	0	0	0
ENSMUSG00000048960	6616	7815	4900	6693
ENSMUSG00000077318	0	0	0	0
ENSMUSG00000101827	1	2	4	6
ENSMUSG00000103494	0	0	0	0
ENSMUSG00000057715	694	599	393	418
ENSMUSG00000103825	0	0	0	0
ENSMUSG00000099845	0	0	0	0
ENSMUSG00000103561	0	0	0	0
ENSMUSG00000101610	1	0	0	0
ENSMUSG00000093864	0	0	0	0
ENSMUSG00000098555	0	0	0	0
ENSMUSG00000097628	44	32	20	20
ENSMUSG00000098163	0	0	0	0
ENSMUSG00000097171	0	0	0	0
ENSMUSG00000101314	0	0	0	0
ENSMUSG00000016918	1464	1111	989	1474
ENSMUSG00000025938	830	825	426	506
ENSMUSG00000104518	0	0	0	0
ENSMUSG00000069620	0	0	0	0
ENSMUSG00000099498	0	0	0	0
ENSMUSG00000042414	0	0	0	0
ENSMUSG00000005886	24761	20185	16819	22511
ENSMUSG00000103506	13	0	0	0
ENSMUSG00000103495	0	0	1	0
ENSMUSG00000099183	1	0	0	0
ENSMUSG00000102639	0	0	0	0
ENSMUSG00000104170	0	10	0	4
ENSMUSG00000087782	0	0	0	1
ENSMUSG00000103085	5	0	15	1
ENSMUSG00000102664	3	1	6	10
ENSMUSG00000101476	0	1	0	0
ENSMUSG00000101171	0	0	0	0
ENSMUSG00000025935	1656	1025	862	826
ENSMUSG00000025937	2981	2040	1297	1693
ENSMUSG00000102982	0	0	1	0
ENSMUSG00000067813	0	0	0	0
ENSMUSG00000077368	0	0	0	0
ENSMUSG00000097711	122	104	48	62
ENSMUSG00000102166	7	0	0	0
ENSMUSG00000089358	0	0	0	0
ENSMUSG00000104209	0	0	0	0
ENSMUSG00000025932	304	300	254	271
ENSMUSG00000095853	0	0	0	0
ENSMUSG00000102588	0	0	0	0
ENSMUSG00000054493	6	10	5	1
ENSMUSG00000025930	3	0	2	0
ENSMUSG00000103492	0	0	1	0
ENSMUSG00000081201	1	1	3	0
ENSMUSG00000082193	43	31	6	9
ENSMUSG00000032769	0	0	0	0
ENSMUSG00000088159	0	0	0	0
ENSMUSG00000073737	43	30	22	28
ENSMUSG00000092083	393	362	377	345
ENSMUSG00000102937	1	0	4	0
ENSMUSG00000104149	0	0	0	0
ENSMUSG00000088829	0	0	0	0
ENSMUSG00000077377	0	0	0	0
ENSMUSG00000101652	0	1	0	0
ENSMUSG00000100814	0	0	0	0
ENSMUSG00000025925	329	272	326	171
ENSMUSG00000104379	2	1	15	11
ENSMUSG00000032719	1	12	9	6
ENSMUSG00000088943	0	0	0	0
ENSMUSG00000100652	0	0	0	0
ENSMUSG00000067795	7	6	0	0
ENSMUSG00000043716	6346	5727	3200	1583
ENSMUSG00000025921	519	442	358	381
ENSMUSG00000104165	6	12	3	14
ENSMUSG00000100868	0	0	0	0
ENSMUSG00000025920	17447	15007	9761	9383
ENSMUSG00000089982	0	0	0	0
ENSMUSG00000025939	3591	3889	2716	1820
ENSMUSG00000102457	8	24	23	4
