gene,chr,strand,tss,pileup,utr,transcript
ENSMUSG00000000001,3,-,108146086,91,81,ENSMUST00000000001
ENSMUSG00000000056,11,+,121237271,167,54,ENSMUST00000103015
ENSMUSG00000000058,6,+,17281354,137,7,ENSMUST00000000058
ENSMUSG00000000078,13,+,5861545,62,94,ENSMUST00000222857
ENSMUSG00000000088,9,+,57521283,575,45,ENSMUST00000000090
ENSMUSG00000000120,11,-,95587635,65,77,ENSMUST00000000122
ENSMUSG00000000126,11,+,59306759,22,214,ENSMUST00000108783
ENSMUSG00000000134,X,+,7762686,76,259,ENSMUST00000115680
ENSMUSG00000000148,5,+,140705040,66,71,ENSMUST00000100505
ENSMUSG00000000149,5,-,140830425,120,129,ENSMUST00000000153
ENSMUSG00000000167,9,+,50617556,25,453,ENSMUST00000141366
ENSMUSG00000000168,9,-,50659526,232,60,ENSMUST00000034567
ENSMUSG00000000171,9,-,50603796,418,7,ENSMUST00000000175
ENSMUSG00000000184,6,-,127151002,253,229,ENSMUST00000201902
ENSMUSG00000000194,2,+,31152355,209,4,ENSMUST00000056433
ENSMUSG00000000202,11,-,114795877,65,29,ENSMUST00000000206
ENSMUSG00000000244,7,+,143005088,8,22,ENSMUST00000009396
ENSMUSG00000000253,13,+,45507641,184,16,ENSMUST00000000260
ENSMUSG00000000275,11,+,88999432,18,57,ENSMUST00000107896
ENSMUSG00000000276,11,-,89060707,103,322,ENSMUST00000107894
ENSMUSG00000000278,11,-,88955394,75,25,ENSMUST00000000287
ENSMUSG00000000282,11,+,74830989,224,340,ENSMUST00000000291
ENSMUSG00000000295,10,+,31313409,78,6,ENSMUST00000000304
ENSMUSG00000000296,10,-,31445852,67,122,ENSMUST00000215515
ENSMUSG00000000308,2,+,121358668,1328,182,ENSMUST00000125221
ENSMUSG00000000320,11,-,70255320,7,48,ENSMUST00000108574
ENSMUSG00000000339,3,-,116508075,183,86,ENSMUST00000140677
ENSMUSG00000000340,3,+,116513138,71,3,ENSMUST00000199614
ENSMUSG00000000346,15,+,100615646,746,66,ENSMUST00000000356
ENSMUSG00000000359,2,+,152626946,5,5,ENSMUST00000139370
ENSMUSG00000000365,14,+,56402696,15,5,ENSMUST00000095793
ENSMUSG00000000374,10,-,78244624,130,122,ENSMUST00000217980
ENSMUSG00000000378,11,+,6546935,99,65,ENSMUST00000000388
ENSMUSG00000000392,2,-,62573936,5,85,ENSMUST00000102732
ENSMUSG00000000399,6,-,126849115,245,3,ENSMUST00000205002
ENSMUSG00000000402,X,-,166585667,9,144,ENSMUST00000000412
ENSMUSG00000000416,6,-,18514740,296,5,ENSMUST00000090601
ENSMUSG00000000439,6,+,115601937,76,51,ENSMUST00000000449
ENSMUSG00000000440,6,+,115360879,9,72,ENSMUST00000203896
ENSMUSG00000000486,7,-,127233132,29,2,ENSMUST00000133591
ENSMUSG00000000531,15,+,101224228,467,74,ENSMUST00000000543
