status,gene_symbol,gene_name,chromosome,genetic_category,gene_score,syndromic,number_of_reports,Gene.name.1,Gene.stable.ID,cds_length,ensembl_gene_id
9,ALDH1A3,aldehyde dehydrogenase 1 family member A3,15,"Rare Single Gene Mutation, Syndromic",NA,1,5,Aldh1a3,ENSMUSG00000015134,531,ENSG00000184254
9,ANK3,ankyrin 3,10,"Rare Single Gene Mutation, Genetic Association",3,0,23,Ank3,ENSMUSG00000069601,342,ENSG00000151150
9,AP1S2,adaptor related protein complex 1 sigma 2 subunit,X,"Rare Single Gene Mutation, Syndromic",NA,1,5,NA,NA,NA,ENSG00000182287
9,ARNT2,aryl-hydrocarbon receptor nuclear translocator 2,15,"Rare Single Gene Mutation, Syndromic, Genetic Association",4,0,11,Arnt2,ENSMUSG00000015709,2139,ENSG00000172379
9,ATP1A3,ATPase Na+/K+ transporting subunit alpha 3,19,"Rare Single Gene Mutation, Syndromic, Functional",4,1,12,Atp1a3,ENSMUSG00000040907,3042,ENSG00000105409
9,ATRX,alpha thalassemia/mental retardation syndrome X-linked,X,"Rare Single Gene Mutation, Syndromic",4,0,17,Atrx,ENSMUSG00000031229,1579,ENSG00000085224
9,CADPS2,Ca2+-dependent activator protein for secretion 2,7,"Rare Single Gene Mutation, Functional",4,0,12,Cadps2,ENSMUSG00000017978,3828,ENSG00000081803
9,CAMK2A,calcium/calmodulin dependent protein kinase II alpha,5,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",4,1,7,Camk2a,ENSMUSG00000024617,1470,ENSG00000070808
9,CAMK2B,calcium/calmodulin dependent protein kinase II beta,7,"Rare Single Gene Mutation, Syndromic",NA,1,4,Camk2b,ENSMUSG00000057897,1557,ENSG00000058404
9,CAMSAP2,"calmodulin regulated spectrin-associated protein family, member 2",1,Rare Single Gene Mutation,5,0,1,Camsap2,ENSMUSG00000041570,4386,ENSG00000118200
9,CDK13,cyclin dependent kinase 13,7,"Rare Single Gene Mutation, Syndromic",NA,1,6,Cdk13,ENSMUSG00000041297,4536,ENSG00000065883
9,CDKN1B,cyclin dependent kinase inhibitor 1B,12,NA,5,0,1,Cdkn1b,ENSMUSG00000003031,594,ENSG00000111276
9,CELF4,"CUGBP, Elav-like family member 4",18,"Rare Single Gene Mutation, Functional",3,0,9,Celf4,ENSMUSG00000024268,1488,ENSG00000101489
9,CEP290,Centrosomal protein 290kDa,12,"Rare Single Gene Mutation, Syndromic",NA,1,6,Cep290,ENSMUSG00000019971,7440,ENSG00000198707
9,CHKB,Choline kinase beta,22,"Rare Single Gene Mutation, Syndromic",NA,1,4,Chkb,ENSMUSG00000022617,495,ENSG00000100288
9,CHKB,Choline kinase beta,22,"Rare Single Gene Mutation, Syndromic",NA,1,4,Gm44502,ENSMUSG00000116461,543,ENSG00000100288
9,CNOT3,CCR4-NOT transcription complex subunit 3,19,"Rare Single Gene Mutation, Syndromic",3,1,3,Cnot3,ENSMUSG00000035632,1020,ENSG00000276082
9,CNOT3,CCR4-NOT transcription complex subunit 3,19,"Rare Single Gene Mutation, Syndromic",3,1,3,Cnot3,ENSMUSG00000035632,1020,ENSG00000274941
